booking_date,arrival_date,lead_time,adr,stays_in_weekend_nights,stays_in_week_nights,is_canceled,lead_bin,season,agent_group,guests_bin,weekend_bin,market_segment,customer_type
2015-11-02,2016-03-28,147,73.0,2,5,0,91-180d,spring,none,2,up to half,Offline TA/TO,Transient-Party
2015-11-02,2016-03-28,147,73.0,2,5,0,91-180d,spring,none,2,up to half,Offline TA/TO,Transient-Party
2015-11-02,2016-03-28,147,73.0,2,5,1,91-180d,spring,none,2,up to half,Offline TA/TO,Transient-Party
2016-03-26,2016-03-28,2,88.84,2,5,1,0-7d,spring,none,3,up to half,Direct,Transient
2016-03-26,2016-03-28,2,60.84,2,5,1,0-7d,spring,none,2,up to half,Direct,Transient
2015-11-02,2016-03-28,147,73.0,2,5,0,91-180d,spring,none,2,up to half,Offline TA/TO,Transient-Party
2015-11-02,2016-03-28,147,73.0,2,5,1,91-180d,spring,none,2,up to half,Offline TA/TO,Transient-Party
2016-03-04,2016-03-28,24,58.0,2,5,1,8-30d,spring,none,0-1,up to half,Offline TA/TO,Transient-Party
2015-11-02,2016-03-28,147,73.0,2,5,0,91-180d,spring,none,2,up to half,Offline TA/TO,Transient-Party
2016-02-29,2016-03-29,29,48.0,0,2,1,8-30d,spring,240,2,none,Online TA,Transient
2016-02-29,2016-03-29,29,65.5,0,2,1,8-30d,spring,240,3,none,Online TA,Transient
2016-02-05,2016-03-29,53,52.0,0,4,1,31-90d,spring,240,2,none,Online TA,Transient
2015-10-14,2016-03-29,167,60.0,1,5,0,91-180d,spring,none,0-1,up to half,Groups,Transient-Party
2016-02-22,2016-03-29,36,73.0,1,5,1,31-90d,spring,240,2,up to half,Online TA,Transient
2016-02-22,2016-03-29,36,105.22,2,7,1,31-90d,spring,240,4+,up to half,Online TA,Transient
2016-02-16,2016-03-30,43,60.0,0,1,1,31-90d,spring,240,2,none,Online TA,Transient
2016-03-28,2016-03-30,2,42.0,0,2,1,0-7d,spring,none,0-1,none,Corporate,Transient
2016-03-28,2016-03-30,2,42.0,0,2,1,0-7d,spring,none,0-1,none,Corporate,Transient
2015-10-14,2016-03-30,168,66.0,0,4,0,91-180d,spring,none,2,none,Groups,Transient-Party
2015-10-14,2016-03-30,168,66.0,0,4,0,91-180d,spring,none,2,none,Groups,Transient-Party
2015-10-14,2016-03-30,168,60.0,0,4,0,91-180d,spring,none,0-1,none,Groups,Transient-Party
2015-10-14,2016-03-30,168,101.0,1,4,0,91-180d,spring,none,3,up to half,Groups,Transient-Party
2015-10-14,2016-03-30,168,66.0,1,4,0,91-180d,spring,none,0-1,up to half,Groups,Transient-Party
2015-10-14,2016-03-30,168,83.5,1,4,0,91-180d,spring,none,3,up to half,Groups,Transient-Party
2015-10-14,2016-03-30,168,66.0,1,4,0,91-180d,spring,none,2,up to half,Groups,Transient-Party
2015-10-14,2016-03-30,168,88.0,1,4,0,91-180d,spring,none,2,up to half,Groups,Transient-Party
2015-10-14,2016-03-30,168,66.0,1,4,0,91-180d,spring,none,2,up to half,Groups,Transient-Party
2015-10-26,2016-03-30,156,53.94,1,4,0,91-180d,spring,250,2,up to half,Direct,Transient
2015-10-14,2016-03-30,168,66.0,1,4,0,91-180d,spring,none,2,up to half,Groups,Transient-Party
2015-10-14,2016-03-30,168,68.0,1,4,0,91-180d,spring,none,2,up to half,Groups,Transient-Party
2015-10-14,2016-03-30,168,66.0,1,4,0,91-180d,spring,none,3,up to half,Groups,Transient-Party
2015-10-14,2016-03-30,168,66.0,1,4,0,91-180d,spring,none,2,up to half,Groups,Transient-Party
2015-11-28,2016-03-30,123,110.71,2,5,1,91-180d,spring,240,4+,up to half,Online TA,Transient
2015-09-07,2016-03-30,205,51.69,2,5,1,181d+,spring,240,2,up to half,Online TA,Transient
2015-10-14,2016-03-31,169,0.0,0,0,0,91-180d,spring,none,2,none,Groups,Transient-Party
2015-10-14,2016-03-31,169,66.0,0,3,0,91-180d,spring,none,2,none,Groups,Transient-Party
2015-10-14,2016-03-31,169,66.0,0,3,0,91-180d,spring,none,2,none,Groups,Transient-Party
2015-10-14,2016-03-31,169,66.0,0,3,0,91-180d,spring,none,2,none,Groups,Transient-Party
2015-10-14,2016-03-31,169,66.0,0,3,0,91-180d,spring,none,2,none,Groups,Transient-Party
2015-08-20,2016-03-31,224,51.3,0,2,1,181d+,spring,240,2,none,Online TA,Transient
2015-10-14,2016-03-31,169,66.0,0,3,0,91-180d,spring,none,2,none,Groups,Transient-Party
2015-10-14,2016-03-31,169,66.0,0,3,0,91-180d,spring,none,2,none,Groups,Transient-Party
2015-10-14,2016-03-31,169,66.0,0,3,0,91-180d,spring,none,2,none,Groups,Transient-Party
2015-10-14,2016-03-31,169,72.0,0,3,0,91-180d,spring,none,2,none,Groups,Transient-Party
2015-10-14,2016-03-31,169,66.0,0,3,0,91-180d,spring,none,2,none,Groups,Transient-Party
2015-10-14,2016-03-31,169,66.0,0,3,0,91-180d,spring,none,2,none,Groups,Transient-Party
2015-10-14,2016-03-31,169,66.0,0,3,0,91-180d,spring,none,2,none,Groups,Transient-Party
2015-10-14,2016-03-31,169,72.0,0,3,0,91-180d,spring,none,2,none,Groups,Transient-Party
2015-10-14,2016-03-31,169,66.0,0,3,0,91-180d,spring,none,2,none,Groups,Transient-Party
2015-10-14,2016-03-31,169,66.0,0,3,0,91-180d,spring,none,2,none,Groups,Transient-Party
2015-10-14,2016-03-31,169,66.0,0,3,0,91-180d,spring,none,0-1,none,Groups,Transient-Party
2015-10-14,2016-03-31,169,72.0,0,3,0,91-180d,spring,none,2,none,Groups,Transient-Party
2015-10-14,2016-03-31,169,66.0,0,3,0,91-180d,spring,none,2,none,Groups,Transient-Party
2015-10-14,2016-03-31,169,66.0,0,3,0,91-180d,spring,none,2,none,Groups,Transient-Party
2015-10-14,2016-03-31,169,66.0,0,3,0,91-180d,spring,none,2,none,Groups,Transient-Party
2015-10-14,2016-03-31,169,66.0,0,3,0,91-180d,spring,none,2,none,Groups,Transient-Party
2015-10-14,2016-03-31,169,66.0,0,3,0,91-180d,spring,none,2,none,Groups,Transient-Party
2015-10-14,2016-03-31,169,66.0,0,3,0,91-180d,spring,none,2,none,Groups,Transient-Party
2015-10-14,2016-03-31,169,60.0,1,3,0,91-180d,spring,none,0-1,up to half,Groups,Transient-Party
2015-10-14,2016-03-31,169,66.0,1,3,0,91-180d,spring,none,2,up to half,Groups,Transient-Party
2015-10-14,2016-03-31,169,101.0,1,3,0,91-180d,spring,none,3,up to half,Groups,Transient-Party
2015-10-14,2016-03-31,169,68.0,0,3,0,91-180d,spring,none,0-1,none,Groups,Transient-Party
2015-10-14,2016-03-31,169,83.5,0,3,0,91-180d,spring,none,3,none,Groups,Transient-Party
2015-10-14,2016-03-31,169,72.0,0,3,0,91-180d,spring,none,2,none,Groups,Transient-Party
2015-10-14,2016-03-31,169,66.0,0,3,0,91-180d,spring,none,2,none,Groups,Transient-Party
2015-10-14,2016-03-31,169,60.0,0,3,0,91-180d,spring,none,0-1,none,Groups,Transient-Party
2015-10-14,2016-03-31,169,60.0,0,3,0,91-180d,spring,none,0-1,none,Groups,Transient-Party
2015-10-14,2016-03-31,169,46.0,1,3,1,91-180d,spring,none,2,up to half,Groups,Transient-Party
2015-10-14,2016-03-31,169,66.0,1,3,0,91-180d,spring,none,2,up to half,Groups,Transient-Party
2015-10-14,2016-03-31,169,66.0,1,3,0,91-180d,spring,none,2,up to half,Groups,Transient-Party
2015-10-14,2016-03-31,169,101.0,1,3,0,91-180d,spring,none,3,up to half,Groups,Transient-Party
2015-10-14,2016-03-31,169,66.0,1,3,0,91-180d,spring,none,2,up to half,Groups,Transient-Party
2015-10-14,2016-03-31,169,46.0,1,3,1,91-180d,spring,none,2,up to half,Groups,Transient-Party
2015-10-14,2016-03-31,169,46.0,1,3,1,91-180d,spring,none,2,up to half,Groups,Transient-Party
2015-10-14,2016-03-31,169,46.0,1,3,1,91-180d,spring,none,2,up to half,Groups,Transient-Party
2015-10-14,2016-03-31,169,46.0,1,3,1,91-180d,spring,none,2,up to half,Groups,Transient-Party
2015-10-14,2016-03-31,169,66.0,1,3,0,91-180d,spring,none,2,up to half,Groups,Transient-Party
2015-10-14,2016-03-31,169,66.0,1,3,0,91-180d,spring,none,2,up to half,Groups,Transient-Party
2015-10-14,2016-03-31,169,66.0,1,3,0,91-180d,spring,none,2,up to half,Groups,Transient-Party
2015-10-14,2016-03-31,169,66.0,1,3,0,91-180d,spring,none,2,up to half,Groups,Transient-Party
2015-10-14,2016-03-31,169,66.0,1,3,1,91-180d,spring,none,2,up to half,Groups,Transient-Party
2015-10-14,2016-03-31,169,60.0,1,3,0,91-180d,spring,none,0-1,up to half,Groups,Transient-Party
2015-10-14,2016-03-31,169,60.0,1,3,0,91-180d,spring,none,0-1,up to half,Groups,Transient-Party
2015-10-14,2016-03-31,169,67.5,1,3,0,91-180d,spring,none,2,up to half,Groups,Transient-Party
2015-10-14,2016-03-31,169,66.0,1,3,0,91-180d,spring,none,2,up to half,Groups,Transient-Party
2015-10-14,2016-03-31,169,66.0,1,3,0,91-180d,spring,none,2,up to half,Groups,Transient-Party
2015-10-14,2016-03-31,169,66.0,1,3,0,91-180d,spring,none,2,up to half,Groups,Transient-Party
2015-10-14,2016-03-31,169,60.0,1,3,0,91-180d,spring,none,0-1,up to half,Groups,Transient-Party
2015-10-14,2016-03-31,169,60.0,1,3,0,91-180d,spring,none,0-1,up to half,Groups,Transient-Party
2015-10-14,2016-03-31,169,66.0,1,3,0,91-180d,spring,none,2,up to half,Groups,Transient-Party
2015-10-14,2016-03-31,169,66.0,1,3,0,91-180d,spring,none,2,up to half,Groups,Transient-Party
2015-10-14,2016-03-31,169,46.0,1,3,1,91-180d,spring,none,2,up to half,Groups,Transient-Party
2015-10-14,2016-03-31,169,46.0,1,3,1,91-180d,spring,none,2,up to half,Groups,Transient-Party
2015-10-14,2016-03-31,169,66.0,2,3,0,91-180d,spring,none,2,up to half,Groups,Transient-Party
2016-02-23,2016-03-31,37,62.0,2,3,1,31-90d,spring,240,2,up to half,Online TA,Transient
2015-10-14,2016-03-31,169,66.0,1,3,0,91-180d,spring,none,2,up to half,Groups,Transient-Party
2015-10-14,2016-03-31,169,66.0,1,3,0,91-180d,spring,none,2,up to half,Groups,Transient-Party
2015-10-14,2016-03-31,169,66.0,2,3,0,91-180d,spring,none,2,up to half,Groups,Transient-Party
2015-12-31,2016-03-31,91,106.8,2,3,1,91-180d,spring,240,4+,up to half,Online TA,Transient
2016-01-15,2016-03-31,76,51.87,3,8,1,31-90d,spring,242,2,up to half,Online TA,Transient
2016-02-15,2016-03-31,45,69.76,4,13,1,31-90d,spring,240,2,up to half,Online TA,Transient
2016-03-01,2016-04-01,31,94.16,0,2,1,31-90d,spring,242,2,none,Online TA,Transient
2015-11-09,2016-04-01,144,41.4,2,2,0,91-180d,spring,other,2,up to half,Offline TA/TO,Transient-Party
2015-11-09,2016-04-01,144,41.4,2,2,0,91-180d,spring,other,2,up to half,Offline TA/TO,Transient-Party
2015-11-09,2016-04-01,144,41.4,2,2,0,91-180d,spring,other,2,up to half,Offline TA/TO,Transient-Party
2015-10-21,2016-04-01,163,60.2,2,5,0,91-180d,spring,240,2,up to half,Online TA,Transient
2016-02-23,2016-04-01,38,68.56,2,7,1,31-90d,spring,240,2,up to half,Online TA,Transient
2015-10-10,2016-04-02,175,52.2,2,2,0,91-180d,spring,240,2,up to half,Online TA,Transient
2016-02-23,2016-04-02,39,113.0,2,1,1,31-90d,spring,240,4+,over half,Online TA,Transient
2016-03-01,2016-04-02,32,75.8,2,3,1,31-90d,spring,240,2,up to half,Online TA,Transient
2015-08-24,2016-04-02,222,42.19,2,5,0,181d+,spring,241,2,up to half,Online TA,Transient
2016-02-03,2016-04-02,59,112.71,2,5,1,31-90d,spring,240,4+,up to half,Online TA,Transient
2015-08-24,2016-04-02,222,42.19,2,5,0,181d+,spring,241,2,up to half,Online TA,Transient
2016-03-01,2016-04-02,32,95.0,4,10,1,31-90d,spring,240,2,up to half,Online TA,Transient
2016-02-03,2016-04-03,60,89.0,2,0,1,31-90d,spring,240,3,over half,Online TA,Transient
2016-03-01,2016-04-03,33,74.75,2,2,1,31-90d,spring,240,2,up to half,Online TA,Transient
2016-03-01,2016-04-03,33,74.75,2,2,1,31-90d,spring,240,0-1,up to half,Online TA,Transient
2016-02-02,2016-04-03,61,113.0,2,1,1,31-90d,spring,240,4+,over half,Online TA,Transient
2015-10-05,2016-04-04,182,0.0,0,0,0,181d+,spring,156,3,none,Offline TA/TO,Transient
2015-10-16,2016-04-04,171,0.0,1,1,0,91-180d,spring,298,2,up to half,Groups,Transient
2016-03-08,2016-04-04,27,56.0,1,1,1,8-30d,spring,240,0-1,up to half,Online TA,Transient
2015-11-17,2016-04-04,139,94.0,1,1,1,91-180d,spring,242,3,up to half,Online TA,Transient
2016-02-22,2016-04-04,42,66.67,1,2,1,31-90d,spring,240,2,up to half,Online TA,Transient
2015-10-16,2016-04-04,171,0.0,1,3,0,91-180d,spring,298,2,up to half,Groups,Transient-Party
2016-03-08,2016-04-04,27,125.0,1,5,1,8-30d,spring,240,4+,up to half,Online TA,Transient
2016-01-09,2016-04-04,86,52.2,2,5,1,31-90d,spring,240,2,up to half,Online TA,Transient
2016-01-12,2016-04-04,83,52.2,2,5,1,31-90d,spring,240,2,up to half,Online TA,Transient
2015-10-02,2016-04-05,186,52.2,0,4,0,181d+,spring,240,2,none,Online TA,Transient
2016-02-25,2016-04-05,40,88.0,0,5,1,31-90d,spring,240,2,none,Online TA,Transient
2016-02-25,2016-04-05,40,58.0,0,5,1,31-90d,spring,240,0-1,none,Online TA,Transient
2016-02-25,2016-04-05,40,58.0,0,5,1,31-90d,spring,240,2,none,Online TA,Transient
2015-09-18,2016-04-05,200,70.4,2,5,0,181d+,spring,314,0-1,up to half,Offline TA/TO,Transient-Party
2015-09-18,2016-04-05,200,71.83,2,5,0,181d+,spring,314,0-1,up to half,Offline TA/TO,Transient-Party
2016-03-01,2016-04-06,36,58.0,0,4,1,31-90d,spring,240,2,none,Online TA,Transient
2016-01-13,2016-04-07,85,64.0,0,3,1,31-90d,spring,other,2,none,Groups,Transient-Party
2016-01-13,2016-04-07,85,64.0,0,3,1,31-90d,spring,other,2,none,Groups,Transient-Party
2016-01-13,2016-04-07,85,64.0,0,3,1,31-90d,spring,other,2,none,Groups,Transient-Party
2016-01-13,2016-04-07,85,64.0,0,3,1,31-90d,spring,other,2,none,Groups,Transient-Party
2016-01-13,2016-04-07,85,64.0,0,3,1,31-90d,spring,other,2,none,Groups,Transient-Party
2016-01-13,2016-04-07,85,64.0,0,3,1,31-90d,spring,other,2,none,Groups,Transient-Party
2016-01-13,2016-04-07,85,64.0,0,3,1,31-90d,spring,other,2,none,Groups,Transient-Party
2016-01-13,2016-04-07,85,64.0,0,3,1,31-90d,spring,other,2,none,Groups,Transient-Party
2016-03-07,2016-04-07,31,68.0,0,3,1,31-90d,spring,other,2,none,Groups,Transient-Party
2016-01-13,2016-04-07,85,64.0,0,3,1,31-90d,spring,other,2,none,Groups,Transient-Party
2016-01-13,2016-04-07,85,64.0,0,3,1,31-90d,spring,other,2,none,Groups,Transient-Party
2016-01-13,2016-04-07,85,64.0,0,3,1,31-90d,spring,other,2,none,Groups,Transient-Party
2016-01-13,2016-04-07,85,64.0,0,3,1,31-90d,spring,other,2,none,Groups,Transient-Party
2016-01-13,2016-04-07,85,64.0,0,3,1,31-90d,spring,other,2,none,Groups,Transient-Party
2016-03-15,2016-04-07,23,85.0,0,3,1,8-30d,spring,240,2,none,Online TA,Transient
2016-01-13,2016-04-07,85,64.0,0,3,1,31-90d,spring,other,2,none,Groups,Transient-Party
2016-01-13,2016-04-07,85,64.0,0,3,1,31-90d,spring,other,2,none,Groups,Transient-Party
2016-01-13,2016-04-07,85,64.0,0,3,1,31-90d,spring,other,2,none,Groups,Transient-Party
2016-01-13,2016-04-07,85,64.0,0,3,1,31-90d,spring,other,2,none,Groups,Transient-Party
2016-03-07,2016-04-07,31,68.0,0,3,1,31-90d,spring,other,2,none,Groups,Transient-Party
2016-03-17,2016-04-07,21,56.0,1,3,1,8-30d,spring,240,0-1,up to half,Online TA,Transient
2015-09-11,2016-04-08,210,0.0,0,0,0,181d+,spring,241,2,none,Online TA,Transient
2016-03-13,2016-04-08,26,77.0,0,1,1,8-30d,spring,240,2,none,Online TA,Transient
2016-03-24,2016-04-08,15,71.0,1,2,1,8-30d,spring,240,2,up to half,Online TA,Transient
2016-03-24,2016-04-08,15,65.0,1,2,1,8-30d,spring,240,2,up to half,Online TA,Transient
2016-03-13,2016-04-08,26,65.0,2,5,1,8-30d,spring,240,2,up to half,Online TA,Transient
2016-02-03,2016-04-08,65,123.0,2,5,1,31-90d,spring,240,4+,up to half,Online TA,Transient
2015-11-11,2016-04-08,149,118.0,2,6,0,91-180d,spring,250,4+,up to half,Direct,Transient-Party
2016-02-23,2016-04-09,46,58.0,0,1,1,31-90d,spring,240,2,none,Online TA,Transient
2016-02-23,2016-04-09,46,123.0,0,1,1,31-90d,spring,240,4+,none,Online TA,Transient
2016-02-23,2016-04-09,46,58.0,0,1,1,31-90d,spring,240,2,none,Online TA,Transient
2016-03-18,2016-04-09,22,35.1,0,1,1,8-30d,spring,96,0-1,none,Offline TA/TO,Transient-Party
2016-03-30,2016-04-09,10,56.0,2,2,1,8-30d,spring,none,0-1,up to half,Direct,Transient
2016-03-30,2016-04-09,10,56.0,2,2,1,8-30d,spring,none,0-1,up to half,Direct,Transient
2016-01-16,2016-04-09,84,63.5,2,4,1,31-90d,spring,other,2,up to half,Offline TA/TO,Transient
2016-03-03,2016-04-09,37,35.1,2,5,1,31-90d,spring,171,0-1,up to half,Offline TA/TO,Transient
2016-01-26,2016-04-09,74,36.0,2,5,1,31-90d,spring,other,0-1,up to half,Groups,Transient-Party
2016-01-29,2016-04-10,72,86.3,2,0,1,31-90d,spring,242,3,over half,Online TA,Transient
2016-03-26,2016-04-10,15,107.0,2,0,1,8-30d,spring,240,2,over half,Online TA,Transient
2016-03-14,2016-04-10,27,72.0,2,2,1,8-30d,spring,250,2,up to half,Direct,Transient
2016-03-09,2016-04-10,32,65.0,2,2,1,31-90d,spring,240,2,up to half,Online TA,Transient
2015-10-03,2016-04-10,190,47.9,2,5,0,181d+,spring,other,0-1,up to half,Groups,Transient-Party
2015-10-03,2016-04-10,190,47.9,2,5,0,181d+,spring,other,0-1,up to half,Groups,Transient-Party
2015-07-10,2016-04-10,275,74.45,2,5,0,181d+,spring,other,2,up to half,Groups,Transient-Party
2015-07-10,2016-04-10,275,68.66,2,5,1,181d+,spring,other,2,up to half,Groups,Transient-Party
2015-07-10,2016-04-10,275,45.9,2,5,0,181d+,spring,other,0-1,up to half,Groups,Transient-Party
2015-07-10,2016-04-10,275,74.45,2,5,0,181d+,spring,other,2,up to half,Groups,Transient-Party
2015-07-10,2016-04-10,275,74.45,2,5,0,181d+,spring,other,2,up to half,Groups,Transient-Party
2015-07-10,2016-04-10,275,74.45,2,5,0,181d+,spring,other,2,up to half,Groups,Transient-Party
2015-07-10,2016-04-10,275,74.45,2,5,0,181d+,spring,other,2,up to half,Groups,Transient-Party
2015-10-03,2016-04-10,190,45.9,2,5,0,181d+,spring,other,0-1,up to half,Groups,Transient-Party
2015-07-10,2016-04-10,275,72.45,2,5,0,181d+,spring,other,2,up to half,Groups,Transient-Party
2015-07-10,2016-04-10,275,68.66,2,5,1,181d+,spring,other,2,up to half,Groups,Transient-Party
2015-07-10,2016-04-10,275,68.66,2,5,1,181d+,spring,other,2,up to half,Groups,Transient-Party
2015-07-10,2016-04-10,275,74.45,2,5,0,181d+,spring,other,2,up to half,Groups,Transient
2015-07-10,2016-04-10,275,74.45,2,5,0,181d+,spring,other,2,up to half,Groups,Transient-Party
2015-07-10,2016-04-10,275,74.45,2,5,0,181d+,spring,other,2,up to half,Groups,Transient-Party
2015-10-03,2016-04-10,190,47.9,2,5,0,181d+,spring,other,0-1,up to half,Groups,Transient-Party
2015-10-03,2016-04-10,190,47.9,2,5,0,181d+,spring,other,0-1,up to half,Groups,Transient-Party
2015-07-10,2016-04-10,275,68.66,2,5,1,181d+,spring,other,2,up to half,Groups,Transient-Party
2015-07-10,2016-04-10,275,72.45,2,5,0,181d+,spring,other,2,up to half,Groups,Transient-Party
2015-07-10,2016-04-10,275,11.53,6,11,0,181d+,spring,other,2,up to half,Groups,Transient-Party
2015-07-10,2016-04-10,275,72.45,2,5,0,181d+,spring,other,2,up to half,Groups,Transient-Party
2016-02-19,2016-04-11,52,90.0,1,0,1,31-90d,spring,240,2,over half,Online TA,Transient
2016-01-23,2016-04-11,79,79.0,1,3,1,31-90d,spring,240,0-1,up to half,Online TA,Transient
2015-09-10,2016-04-11,214,52.2,2,5,0,181d+,spring,240,2,up to half,Online TA,Transient
2016-02-19,2016-04-11,52,120.0,1,3,1,31-90d,spring,240,3,up to half,Online TA,Transient
2016-03-07,2016-04-11,35,95.0,1,3,1,31-90d,spring,240,2,up to half,Online TA,Transient
2016-03-14,2016-04-11,28,65.0,1,4,1,8-30d,spring,240,2,up to half,Online TA,Transient
2016-02-03,2016-04-11,68,49.0,1,4,1,31-90d,spring,240,0-1,up to half,Online TA,Transient
2016-03-04,2016-04-11,38,77.0,1,4,1,31-90d,spring,240,0-1,up to half,Online TA,Transient
2016-02-05,2016-04-11,66,68.0,1,4,1,31-90d,spring,240,2,up to half,Online TA,Transient
2015-09-10,2016-04-11,214,52.2,2,5,0,181d+,spring,240,2,up to half,Online TA,Transient
2015-10-07,2016-04-11,187,108.0,3,7,0,181d+,spring,240,2,up to half,Online TA,Transient
2015-10-03,2016-04-12,192,52.2,2,5,0,181d+,spring,240,2,up to half,Online TA,Transient
2015-09-28,2016-04-12,197,52.2,2,5,1,181d+,spring,240,2,up to half,Online TA,Transient
2015-08-27,2016-04-12,229,62.05,2,6,0,181d+,spring,250,2,up to half,Direct,Transient
2016-01-25,2016-04-12,78,80.0,4,10,1,31-90d,spring,other,2,up to half,Groups,Transient-Party
2016-01-25,2016-04-12,78,80.0,4,10,1,31-90d,spring,other,2,up to half,Groups,Transient-Party
2016-03-09,2016-04-13,35,56.0,0,1,1,31-90d,spring,other,0-1,none,Online TA,Transient
2016-03-18,2016-04-13,26,56.0,0,3,1,8-30d,spring,240,0-1,none,Online TA,Transient
2016-03-18,2016-04-14,27,65.0,0,1,1,8-30d,spring,240,2,none,Online TA,Transient
2016-03-15,2016-04-14,30,91.0,0,3,1,8-30d,spring,240,2,none,Online TA,Transient
2016-03-24,2016-04-14,21,101.0,1,3,1,8-30d,spring,250,2,up to half,Direct,Transient
2015-11-03,2016-04-15,164,118.0,0,2,1,91-180d,spring,240,2,none,Online TA,Transient
2016-03-31,2016-04-15,15,65.0,0,2,1,8-30d,spring,250,2,none,Direct,Transient
2015-11-03,2016-04-15,164,118.0,0,2,1,91-180d,spring,240,2,none,Online TA,Transient
2015-11-03,2016-04-15,164,118.0,0,2,1,91-180d,spring,240,2,none,Online TA,Transient
2015-11-03,2016-04-15,164,118.0,0,2,1,91-180d,spring,240,2,none,Online TA,Transient
2015-10-16,2016-04-16,183,85.0,1,1,0,181d+,spring,298,2,up to half,Groups,Transient-Party
2015-10-16,2016-04-16,183,85.0,1,1,0,181d+,spring,298,2,up to half,Groups,Transient-Party
2015-10-16,2016-04-16,183,54.5,1,1,0,181d+,spring,298,0-1,up to half,Groups,Transient-Party
2015-10-16,2016-04-16,183,42.5,1,1,0,181d+,spring,298,2,up to half,Groups,Transient-Party
2015-10-16,2016-04-16,183,85.0,1,1,0,181d+,spring,298,2,up to half,Groups,Transient-Party
2015-10-16,2016-04-16,183,54.5,1,1,0,181d+,spring,298,0-1,up to half,Groups,Transient-Party
2015-10-16,2016-04-16,183,54.5,1,1,0,181d+,spring,298,0-1,up to half,Groups,Transient-Party
2015-10-16,2016-04-16,183,85.0,1,1,0,181d+,spring,298,2,up to half,Groups,Transient-Party
2015-10-16,2016-04-16,183,54.5,1,1,0,181d+,spring,298,0-1,up to half,Groups,Transient-Party
2015-10-16,2016-04-16,183,85.0,1,1,0,181d+,spring,298,2,up to half,Groups,Transient-Party
2015-10-16,2016-04-16,183,85.0,1,1,0,181d+,spring,298,2,up to half,Groups,Transient-Party
2015-10-16,2016-04-16,183,85.0,1,1,0,181d+,spring,298,2,up to half,Groups,Transient-Party
2015-10-16,2016-04-16,183,85.0,1,1,0,181d+,spring,298,2,up to half,Groups,Transient-Party
2015-10-16,2016-04-16,183,85.0,1,1,0,181d+,spring,298,2,up to half,Groups,Transient-Party
2015-10-16,2016-04-16,183,85.0,1,1,0,181d+,spring,298,2,up to half,Groups,Transient-Party
2015-10-16,2016-04-16,183,85.0,1,1,0,181d+,spring,298,2,up to half,Groups,Transient-Party
2015-10-16,2016-04-16,183,54.5,1,1,0,181d+,spring,298,0-1,up to half,Groups,Transient-Party
2015-10-16,2016-04-16,183,54.5,1,1,0,181d+,spring,298,0-1,up to half,Groups,Transient-Party
2015-10-16,2016-04-16,183,85.0,1,1,0,181d+,spring,298,2,up to half,Groups,Transient-Party
2015-10-16,2016-04-16,183,54.5,1,1,0,181d+,spring,298,0-1,up to half,Groups,Transient-Party
2015-10-16,2016-04-16,183,54.5,1,1,0,181d+,spring,298,0-1,up to half,Groups,Transient-Party
2015-10-16,2016-04-16,183,85.0,1,1,0,181d+,spring,298,2,up to half,Groups,Transient-Party
2015-10-16,2016-04-16,183,54.5,1,1,0,181d+,spring,298,0-1,up to half,Groups,Transient-Party
2015-10-16,2016-04-16,183,85.0,1,1,0,181d+,spring,298,2,up to half,Groups,Transient-Party
2015-10-16,2016-04-16,183,54.5,1,1,0,181d+,spring,298,0-1,up to half,Groups,Transient-Party
2015-10-16,2016-04-16,183,54.5,1,1,0,181d+,spring,298,0-1,up to half,Groups,Transient-Party
2015-10-16,2016-04-16,183,54.5,1,1,0,181d+,spring,298,0-1,up to half,Groups,Transient-Party
2015-10-16,2016-04-16,183,0.0,2,2,0,181d+,spring,298,2,up to half,Groups,Transient-Party
2015-10-30,2016-04-16,169,67.5,2,4,0,91-180d,spring,196,2,up to half,Offline TA/TO,Transient
2015-10-30,2016-04-16,169,80.1,2,4,0,91-180d,spring,196,3,up to half,Offline TA/TO,Transient
2016-03-13,2016-04-16,34,65.45,2,5,1,31-90d,spring,241,2,up to half,Online TA,Transient
2015-08-28,2016-04-16,232,52.2,2,5,1,181d+,spring,240,2,up to half,Online TA,Transient
2015-10-07,2016-04-16,192,37.4,2,5,0,181d+,spring,40,2,up to half,Offline TA/TO,Transient
2016-02-25,2016-04-16,51,53.28,2,5,1,31-90d,spring,314,2,up to half,Offline TA/TO,Transient
2016-03-18,2016-04-17,30,65.0,1,0,1,8-30d,spring,250,2,over half,Direct,Transient
2015-09-30,2016-04-17,200,58.2,2,2,0,181d+,spring,240,2,up to half,Online TA,Transient
2016-01-26,2016-04-17,82,56.89,2,2,1,31-90d,spring,250,2,up to half,Direct,Transient
2015-09-12,2016-04-17,218,83.0,2,1,0,181d+,spring,250,2,over half,Direct,Transient
2016-02-23,2016-04-17,54,42.3,2,3,1,31-90d,spring,8,2,up to half,Offline TA/TO,Transient
2016-01-19,2016-04-17,89,58.0,2,5,1,31-90d,spring,240,2,up to half,Online TA,Transient
2016-02-25,2016-04-18,53,118.0,1,0,1,31-90d,spring,240,4+,over half,Online TA,Transient
2015-10-16,2016-04-18,185,42.5,1,1,0,181d+,spring,298,2,up to half,Groups,Transient-Party
2015-10-16,2016-04-18,185,54.5,1,1,0,181d+,spring,298,0-1,up to half,Groups,Transient-Party
2015-10-16,2016-04-18,185,54.5,1,1,0,181d+,spring,298,0-1,up to half,Groups,Transient-Party
